date,kWh
2023-05-05T05:00:00Z,0.03
2023-05-05T06:00:00Z,0.45
2023-05-05T07:00:00Z,1.66
2023-05-05T08:00:00Z,1.97
2023-05-05T09:00:00Z,2.61
2023-05-05T10:00:00Z,2.61
2023-05-05T11:00:00Z,1.77
2023-05-05T12:00:00Z,1.04
2023-05-05T13:00:00Z,1.57
2023-05-05T14:00:00Z,2.49
2023-05-05T15:00:00Z,2.6
2023-05-05T16:00:00Z,2.22
2023-05-05T17:00:00Z,2.61
2023-05-05T18:00:00Z,1.05
2023-05-05T19:00:00Z,0.42
2023-05-05T20:00:00Z,0.01
2023-05-06T05:00:00Z,0.007
2023-05-06T06:00:00Z,0.27
2023-05-06T07:00:00Z,1
2023-05-06T08:00:00Z,3.43
2023-05-06T09:00:00Z,3.19
2023-05-06T10:00:00Z,4.37
2023-05-06T11:00:00Z,3.42
2023-05-06T12:00:00Z,3.97
2023-05-06T13:00:00Z,3.62
2023-05-06T14:00:00Z,7.09
2023-05-06T15:00:00Z,5.16
2023-05-06T16:00:00Z,2.91
2023-05-06T17:00:00Z,1.33
2023-05-06T18:00:00Z,0.87
2023-05-06T19:00:00Z,0.53
2023-05-06T20:00:00Z,0.03
2023-05-07T05:00:00Z,0.01
2023-05-07T06:00:00Z,0.32
2023-05-07T07:00:00Z,1.41
2023-05-07T08:00:00Z,2.57
2023-05-07T09:00:00Z,3.41
2023-05-07T10:00:00Z,3.52
2023-05-07T11:00:00Z,4.64
2023-05-07T12:00:00Z,5.66
2023-05-07T13:00:00Z,5.99
2023-05-07T14:00:00Z,4.49
2023-05-07T15:00:00Z,3.42
2023-05-07T16:00:00Z,2.33
2023-05-07T17:00:00Z,1.76
2023-05-07T18:00:00Z,1.07
2023-05-07T19:00:00Z,0.42
2023-05-07T20:00:00Z,0.02
2023-05-08T05:00:00Z,0.06
2023-05-08T06:00:00Z,0.71
2023-05-08T07:00:00Z,1.96
2023-05-08T08:00:00Z,3.73
2023-05-08T09:00:00Z,5.23
2023-05-08T10:00:00Z,6.28
2023-05-08T11:00:00Z,8.69
2023-05-08T12:00:00Z,5.24
2023-05-08T13:00:00Z,8.85
2023-05-08T14:00:00Z,10.43
2023-05-08T15:00:00Z,7.61
2023-05-08T16:00:00Z,1.38
2023-05-08T17:00:00Z,0.39
2023-05-08T18:00:00Z,0.73
2023-05-08T19:00:00Z,0.38
2023-05-08T20:00:00Z,0.02
2023-05-09T05:00:00Z,0.05
2023-05-09T06:00:00Z,0.34
2023-05-09T07:00:00Z,0.79
2023-05-09T08:00:00Z,2.01
2023-05-09T09:00:00Z,6.95
2023-05-09T10:00:00Z,9.28
2023-05-09T11:00:00Z,10.8
2023-05-09T12:00:00Z,10.87
2023-05-09T13:00:00Z,10.72
2023-05-09T14:00:00Z,9.97
2023-05-09T15:00:00Z,8.09
2023-05-09T16:00:00Z,5.09
2023-05-09T17:00:00Z,1.55
2023-05-09T18:00:00Z,0.48
2023-05-09T19:00:00Z,0.22
2023-05-09T20:00:00Z,0.02
2023-05-10T05:00:00Z,0.04
2023-05-10T06:00:00Z,0.59
2023-05-10T07:00:00Z,2.22
2023-05-10T08:00:00Z,4.96
2023-05-10T09:00:00Z,7.36
2023-05-10T10:00:00Z,9.42
2023-05-10T11:00:00Z,10.64
2023-05-10T12:00:00Z,9.48
2023-05-10T13:00:00Z,9.19
2023-05-10T14:00:00Z,8.48
2023-05-10T15:00:00Z,3.02
2023-05-10T16:00:00Z,2.45
2023-05-10T17:00:00Z,2.19
2023-05-10T18:00:00Z,1.74
2023-05-10T19:00:00Z,1.05
2023-05-10T20:00:00Z,0.16
2023-05-11T05:00:00Z,0.05
2023-05-11T06:00:00Z,0.57
2023-05-11T07:00:00Z,2.33
2023-05-11T08:00:00Z,4.9
2023-05-11T09:00:00Z,7.27
2023-05-11T10:00:00Z,9.12
2023-05-11T11:00:00Z,10.37
2023-05-11T12:00:00Z,10.81
2023-05-11T13:00:00Z,10.67
2023-05-11T14:00:00Z,9.87
2023-05-11T15:00:00Z,8.1
2023-05-11T16:00:00Z,5.07
2023-05-11T17:00:00Z,2.37
2023-05-11T18:00:00Z,0.77
2023-05-11T19:00:00Z,0.27
2023-05-11T20:00:00Z,0.03
