Date,kWh delivered
1/1/2019 12:00:00 AM,0.915
1/1/2019 1:00:00 AM,0.934
1/1/2019 2:00:00 AM,0.881
1/1/2019 3:00:00 AM,0.927
1/1/2019 4:00:00 AM,0.405
1/1/2019 5:00:00 AM,0.434
1/1/2019 6:00:00 AM,0.576
1/1/2019 7:00:00 AM,0.65
1/1/2019 8:00:00 AM,0.4
1/1/2019 9:00:00 AM,0.441
1/1/2019 10:00:00 AM,0.624
1/1/2019 11:00:00 AM,0.677
1/1/2019 12:00:00 PM,0.543
1/1/2019 1:00:00 PM,0.618
1/1/2019 2:00:00 PM,1.105
1/1/2019 3:00:00 PM,0.686
1/1/2019 4:00:00 PM,0.709
1/1/2019 5:00:00 PM,0.776
1/1/2019 6:00:00 PM,1.84
1/1/2019 7:00:00 PM,0.742
1/1/2019 8:00:00 PM,0.7
1/1/2019 9:00:00 PM,1.252
1/1/2019 10:00:00 PM,0.655
1/1/2019 11:00:00 PM,0.545
1/2/2019 12:00:00 AM,0.437
1/2/2019 1:00:00 AM,0.43
1/2/2019 2:00:00 AM,0.422
1/2/2019 3:00:00 AM,0.43
1/2/2019 4:00:00 AM,0.395
1/2/2019 5:00:00 AM,0.418
1/2/2019 6:00:00 AM,0.636
1/2/2019 7:00:00 AM,0.647
1/2/2019 8:00:00 AM,0.444
1/2/2019 9:00:00 AM,0.433
1/2/2019 10:00:00 AM,0.429
1/2/2019 11:00:00 AM,0.782
1/2/2019 12:00:00 PM,1.621
1/2/2019 1:00:00 PM,0.691
1/2/2019 2:00:00 PM,0.581
1/2/2019 3:00:00 PM,0.618
1/2/2019 4:00:00 PM,0.744
1/2/2019 5:00:00 PM,0.675
1/2/2019 6:00:00 PM,0.762
1/2/2019 7:00:00 PM,0.666
1/2/2019 8:00:00 PM,0.701
1/2/2019 9:00:00 PM,0.65
1/2/2019 10:00:00 PM,0.647
1/2/2019 11:00:00 PM,1.141
1/3/2019 12:00:00 AM,0.91
1/3/2019 1:00:00 AM,0.451
1/3/2019 2:00:00 AM,0.384
1/3/2019 3:00:00 AM,0.334
1/3/2019 4:00:00 AM,0.387
1/3/2019 5:00:00 AM,0.381
1/3/2019 6:00:00 AM,0.569
1/3/2019 7:00:00 AM,0.595
1/3/2019 8:00:00 AM,0.422
1/3/2019 9:00:00 AM,0.415
1/3/2019 10:00:00 AM,0.385
1/3/2019 11:00:00 AM,0.351
1/3/2019 12:00:00 PM,1.409
1/3/2019 1:00:00 PM,3.177
1/3/2019 2:00:00 PM,2.317
1/3/2019 3:00:00 PM,1.541
1/3/2019 4:00:00 PM,0.685
