date,kWh
2022-09-30T06:00:00Z,0.003
2022-09-30T07:00:00Z,0.47
2022-09-30T08:00:00Z,2.49
2022-09-30T09:00:00Z,4.92
2022-09-30T10:00:00Z,6.85
2022-09-30T11:00:00Z,8.16
2022-09-30T12:00:00Z,8.71
2022-09-30T13:00:00Z,8.44
2022-09-30T14:00:00Z,7.4
2022-09-30T15:00:00Z,4.92
2022-09-30T16:00:00Z,1.41
2022-09-30T17:00:00Z,0.69
2022-09-30T18:00:00Z,0.1
2022-10-01T06:00:00Z,0.003
2022-10-01T07:00:00Z,0.47
2022-10-01T08:00:00Z,2.45
2022-10-01T09:00:00Z,4.9
2022-10-01T10:00:00Z,6.85
2022-10-01T11:00:00Z,8.22
2022-10-01T12:00:00Z,8.76
2022-10-01T13:00:00Z,8.53
2022-10-01T14:00:00Z,7.5
2022-10-01T15:00:00Z,4.92
2022-10-01T16:00:00Z,1.32
2022-10-01T17:00:00Z,0.63
2022-10-01T18:00:00Z,0.08
2022-10-02T06:00:00Z,0.003
2022-10-02T07:00:00Z,0.46
2022-10-02T08:00:00Z,2.57
2022-10-02T09:00:00Z,5.1
2022-10-02T10:00:00Z,7.07
2022-10-02T11:00:00Z,8.36
2022-10-02T12:00:00Z,8.87
2022-10-02T13:00:00Z,8.68
2022-10-02T14:00:00Z,7.62
2022-10-02T15:00:00Z,5.02
2022-10-02T16:00:00Z,1.28
2022-10-02T17:00:00Z,0.6
2022-10-02T18:00:00Z,0.07
2022-10-03T06:00:00Z,0.002
2022-10-03T07:00:00Z,0.47
2022-10-03T08:00:00Z,2.56
2022-10-03T09:00:00Z,5.14
2022-10-03T10:00:00Z,7.16
2022-10-03T11:00:00Z,8.46
2022-10-03T12:00:00Z,8.99
2022-10-03T13:00:00Z,8.76
2022-10-03T14:00:00Z,7.79
2022-10-03T15:00:00Z,5.17
2022-10-03T16:00:00Z,1.25
2022-10-03T17:00:00Z,0.57
2022-10-03T18:00:00Z,0.06
2022-10-04T06:00:00Z,0.002
2022-10-04T07:00:00Z,0.37
2022-10-04T08:00:00Z,2.16
2022-10-04T09:00:00Z,4.64
2022-10-04T10:00:00Z,6.52
2022-10-04T11:00:00Z,7.66
2022-10-04T12:00:00Z,7.9
2022-10-04T13:00:00Z,7.97
2022-10-04T14:00:00Z,6.64
2022-10-04T15:00:00Z,4.22
2022-10-04T16:00:00Z,1.19
2022-10-04T17:00:00Z,0.78
2022-10-04T18:00:00Z,0.08
2022-10-05T06:00:00Z,0
2022-10-05T07:00:00Z,0.31
2022-10-05T08:00:00Z,1.96
2022-10-05T09:00:00Z,4.77
2022-10-05T10:00:00Z,6.53
2022-10-05T11:00:00Z,7.99
2022-10-05T12:00:00Z,8.54
2022-10-05T13:00:00Z,7.71
2022-10-05T14:00:00Z,7.24
2022-10-05T15:00:00Z,4.61
2022-10-05T16:00:00Z,1.38
2022-10-05T17:00:00Z,0.71
2022-10-05T18:00:00Z,0.05
2022-10-06T06:00:00Z,0.002
2022-10-06T07:00:00Z,0.36
2022-10-06T08:00:00Z,1.89
2022-10-06T09:00:00Z,4.77
2022-10-06T10:00:00Z,6.74
2022-10-06T11:00:00Z,7.12
2022-10-06T12:00:00Z,8.03
2022-10-06T13:00:00Z,8.38
2022-10-06T14:00:00Z,7.06
2022-10-06T15:00:00Z,4.54
2022-10-06T16:00:00Z,1.51
2022-10-06T17:00:00Z,0.61
2022-10-06T18:00:00Z,0.03
