date,kWh
2023-10-20T07:00:00Z,0.009
2023-10-20T08:00:00Z,0.63
2023-10-20T09:00:00Z,2.65
2023-10-20T10:00:00Z,4.9
2023-10-20T11:00:00Z,5.32
2023-10-20T12:00:00Z,4.29
2023-10-20T13:00:00Z,6.01
2023-10-20T14:00:00Z,5.59
2023-10-20T15:00:00Z,3.15
2023-10-20T16:00:00Z,1.04
2023-10-20T17:00:00Z,0.3
2023-10-20T18:00:00Z,0
2023-10-21T07:00:00Z,0.008
2023-10-21T08:00:00Z,0.42
2023-10-21T09:00:00Z,1.03
2023-10-21T10:00:00Z,1.17
2023-10-21T11:00:00Z,1.73
2023-10-21T12:00:00Z,3.56
2023-10-21T13:00:00Z,2.59
2023-10-21T14:00:00Z,1.85
2023-10-21T15:00:00Z,1.5
2023-10-21T16:00:00Z,1.09
2023-10-21T17:00:00Z,0.24
2023-10-21T18:00:00Z,0
2023-10-22T07:00:00Z,0.004
2023-10-22T08:00:00Z,0.25
2023-10-22T09:00:00Z,2.25
2023-10-22T10:00:00Z,1.66
2023-10-22T11:00:00Z,5.79
2023-10-22T12:00:00Z,5.62
2023-10-22T13:00:00Z,6.11
2023-10-22T14:00:00Z,5.95
2023-10-22T15:00:00Z,4.04
2023-10-22T16:00:00Z,0.71
2023-10-22T17:00:00Z,0.17
2023-10-22T18:00:00Z,0.001
2023-10-23T07:00:00Z,0.007
2023-10-23T08:00:00Z,0.38
2023-10-23T09:00:00Z,1.7
2023-10-23T10:00:00Z,3.43
2023-10-23T11:00:00Z,5.39
2023-10-23T12:00:00Z,6.12
2023-10-23T13:00:00Z,3.41
2023-10-23T14:00:00Z,6.3
2023-10-23T15:00:00Z,2.82
2023-10-23T16:00:00Z,0.69
2023-10-23T17:00:00Z,0.31
2023-10-23T18:00:00Z,0
2023-10-24T07:00:00Z,0.004
2023-10-24T08:00:00Z,0.31
2023-10-24T09:00:00Z,0.67
2023-10-24T10:00:00Z,1.89
2023-10-24T11:00:00Z,1.16
2023-10-24T12:00:00Z,1.95
2023-10-24T13:00:00Z,2.47
2023-10-24T14:00:00Z,2.45
2023-10-24T15:00:00Z,1.58
2023-10-24T16:00:00Z,0.44
2023-10-24T17:00:00Z,0.07
2023-10-24T18:00:00Z,0
2023-10-25T07:00:00Z,0.004
2023-10-25T08:00:00Z,0.42
2023-10-25T09:00:00Z,2.08
2023-10-25T10:00:00Z,1.43
2023-10-25T11:00:00Z,1.63
2023-10-25T12:00:00Z,2.17
2023-10-25T13:00:00Z,1.86
2023-10-25T14:00:00Z,0.95
2023-10-25T15:00:00Z,0.76
2023-10-25T16:00:00Z,0.39
2023-10-25T17:00:00Z,0.09
2023-10-25T18:00:00Z,0
2023-10-26T07:00:00Z,0.008
2023-10-26T08:00:00Z,0.97
2023-10-26T09:00:00Z,3.08
2023-10-26T10:00:00Z,3.78
2023-10-26T11:00:00Z,7.2
2023-10-26T12:00:00Z,9.05
2023-10-26T13:00:00Z,8.68
2023-10-26T14:00:00Z,5.17
2023-10-26T15:00:00Z,1.57
2023-10-26T16:00:00Z,0.59
2023-10-26T17:00:00Z,0.15
2023-10-26T18:00:00Z,0
