day,hour,kw_returned,kw_consumed
2022-06-01,0,NA,0.503
2022-06-01,1,NA,0.528
2022-06-01,2,NA,0.503
2022-06-01,3,NA,0.479
2022-06-01,4,NA,0.525
2022-06-01,5,NA,0.767
2022-06-01,6,NA,1.11
2022-06-01,7,NA,1.423
2022-06-01,8,NA,0.822
2022-06-01,9,NA,0.89
2022-06-01,10,NA,0.848
2022-06-01,11,NA,2.72
2022-06-01,12,NA,1.036
2022-06-01,13,NA,3.073
2022-06-01,14,NA,1.267
2022-06-01,15,NA,0.469
2022-06-01,16,NA,NA
2022-06-01,17,NA,NA
2022-06-01,18,NA,NA
2022-06-01,19,NA,NA
2022-06-01,20,NA,NA
2022-06-01,21,NA,NA
2022-06-01,22,NA,NA
2022-06-01,23,NA,NA
2022-06-02,0,NA,0.383
2022-06-02,1,NA,0.49
2022-06-02,2,NA,0.505
2022-06-02,3,NA,0.457
2022-06-02,4,NA,0.411
2022-06-02,5,NA,1.169
2022-06-02,6,NA,0.716
2022-06-02,7,NA,1.976
2022-06-02,8,NA,1.174
2022-06-02,9,NA,2.906
2022-06-02,10,NA,1.298
2022-06-02,11,NA,1.197
2022-06-02,12,NA,0.899
2022-06-02,13,NA,0.83
2022-06-02,14,NA,0.695
2022-06-02,15,NA,0.633
2022-06-10,16,NA,0.731
2022-06-10,17,NA,0.667
2022-06-10,18,NA,1.166
2022-06-10,19,NA,1.059
2022-06-10,20,NA,0.785
2022-06-10,21,NA,1.236
2022-06-10,22,NA,0.929
2022-06-10,23,NA,0.509
2022-06-11,0,NA,0.504
2022-06-11,1,NA,0.442
2022-06-11,2,NA,0.487
2022-06-11,3,NA,0.558
2022-06-11,4,NA,0.791
2022-06-11,5,NA,0.915
2022-06-11,6,NA,0.743
2022-06-11,7,NA,0.632
2022-06-11,8,NA,0.852
2022-06-11,9,NA,1.971
2022-06-11,10,NA,2.502
2022-06-11,11,NA,0.848
2022-06-11,12,NA,0.724
2022-06-11,13,NA,1.262
2022-06-11,14,NA,1.282
2022-06-11,15,NA,1.113
2022-06-11,16,NA,0.824
2022-06-11,17,NA,0.738
2022-06-11,18,NA,0.788
2022-06-11,19,NA,0.771
2022-06-11,20,NA,0.806
2022-06-11,21,NA,0.947
2022-06-11,22,NA,1.171
2022-06-11,23,NA,0.532
2022-06-12,0,NA,0.523
2022-06-12,1,NA,0.478
2022-06-12,2,NA,0.53
2022-06-12,3,NA,0.484
2022-06-12,4,NA,0.75
2022-06-12,5,NA,0.872
2022-06-12,6,NA,0.819
2022-06-12,7,NA,1.148
2022-06-12,8,NA,0.887
2022-06-12,9,NA,0.899
2022-06-12,10,NA,0.721
2022-06-12,11,NA,1.28
2022-06-12,12,NA,1.131
2022-06-12,13,NA,1.245
2022-06-12,14,NA,2.176
2022-06-12,15,NA,1.388
2022-06-12,16,NA,0.649
2022-06-12,17,NA,0.74
2022-06-12,18,NA,1.397
2022-06-12,19,NA,0.911
2022-06-12,20,NA,1.338
2022-06-12,21,NA,0.773
2022-06-12,22,NA,0.535
2022-06-12,23,NA,0.529
2022-06-13,0,NA,0.486
2022-06-13,1,NA,0.489
2022-06-13,2,NA,0.506
2022-06-13,3,NA,0.455
2022-06-13,4,NA,0.735
2022-06-13,5,NA,0.888
2022-06-13,6,NA,0.662
2022-06-13,7,NA,1.908
2022-06-13,8,NA,1.024
2022-06-13,9,NA,1.269
2022-06-13,10,NA,0.925
2022-06-13,11,NA,0.691
2022-06-13,12,NA,0.817
2022-06-13,13,NA,0.825
2022-06-13,14,NA,0.673
2022-06-13,15,NA,1.009
2022-06-13,16,NA,1.212
2022-06-13,17,NA,1.958
2022-06-13,18,NA,1.862
2022-06-13,19,NA,1.895
2022-06-13,20,NA,2.303
2022-06-13,21,NA,2.477
2022-06-13,22,NA,4.178
2022-06-13,23,NA,0.497
2022-06-14,0,NA,0.5
2022-06-14,1,NA,0.477
2022-06-14,2,NA,0.451
2022-06-14,3,NA,0.507
2022-06-14,4,NA,0.84
2022-06-14,5,NA,0.838
2022-06-14,6,NA,0.678
2022-06-14,7,NA,0.937
2022-06-21,8,NA,1.213
2022-06-21,9,NA,1.03
2022-06-21,10,NA,3.251
2022-06-21,11,NA,1.119
2022-06-21,12,NA,0.817
2022-06-21,13,NA,0.675
2022-06-21,14,NA,0.58
2022-06-21,15,NA,0.762
2022-06-21,16,NA,2.337
2022-06-21,17,NA,1.049
2022-06-21,18,NA,1.173
2022-06-21,19,NA,0.886
2022-06-21,20,NA,2.173
2022-06-21,21,NA,1.855
2022-06-21,22,NA,0.609
2022-06-21,23,NA,0.521
2022-06-22,0,NA,0.511
2022-06-22,1,NA,0.473
2022-06-22,2,NA,0.52
2022-06-22,3,NA,0.627
2022-06-22,4,NA,0.716
2022-06-22,5,NA,0.574
2022-06-22,6,NA,0.549
2022-06-22,7,NA,0.952
2022-06-22,8,NA,0.661
2022-06-22,9,NA,0.906
2022-06-22,10,NA,1.449
2022-06-22,11,NA,0.956
2022-06-22,12,NA,0.764
2022-06-22,13,NA,0.735
2022-06-22,14,NA,1.196
2022-06-22,15,NA,2.434
2022-06-22,16,NA,0.957
2022-06-22,17,NA,0.758
2022-06-22,18,NA,2.971
2022-06-22,19,NA,2.149
2022-06-22,20,NA,0.755
2022-06-22,21,NA,0.684
2022-06-22,22,NA,1.005
2022-06-22,23,NA,0.925
2022-06-23,0,NA,0.475
2022-06-23,1,NA,0.504
2022-06-23,2,NA,0.459
2022-06-23,3,NA,0.458
2022-06-23,4,NA,0.478
2022-06-23,5,NA,0.638
2022-06-23,6,NA,0.519
2022-06-23,7,NA,1.01
2022-06-23,8,NA,0.734
2022-06-23,9,NA,0.766
2022-06-23,10,NA,0.672
2022-06-23,11,NA,0.639
2022-06-23,12,NA,0.765
2022-06-23,13,NA,0.712
2022-06-23,14,NA,0.75
2022-06-23,15,NA,0.746
2022-06-23,16,NA,0.698
2022-06-23,17,NA,1.457
2022-06-23,18,NA,3.65
2022-06-23,19,NA,2.62
2022-06-23,20,NA,0.71
2022-06-23,21,NA,0.59
2022-06-23,22,NA,0.55
2022-06-23,23,NA,0.479
2022-06-24,0,NA,0.433
2022-06-24,1,NA,0.461
2022-06-24,2,NA,0.475
2022-06-24,3,NA,0.437
2022-06-24,4,NA,0.43
2022-06-24,5,NA,0.653
2022-06-24,6,NA,0.519
2022-06-24,7,NA,1.662
2022-06-24,8,NA,0.762
2022-06-24,9,NA,0
2022-06-24,10,NA,0
2022-06-24,11,NA,0
2022-06-24,12,NA,0
2022-06-24,13,NA,0.039
2022-06-24,14,NA,0.061
2022-06-24,15,NA,0.98
2022-06-24,16,NA,0.737
2022-06-24,17,NA,0.741
2022-06-24,18,NA,0.652
2022-06-24,19,NA,3.079
2022-06-24,20,NA,0.687
2022-06-24,21,NA,0.652
2022-06-24,22,NA,2.001
2022-06-24,23,NA,0.526
2022-06-25,0,NA,0.497
2022-06-25,1,NA,0.461
2022-06-25,2,NA,0.503
2022-06-25,3,NA,0.503
2022-06-25,4,NA,0.471
2022-06-25,5,NA,0.663
2022-06-25,6,NA,0.687
2022-06-25,7,NA,1.758
2022-06-25,8,NA,2.864
2022-06-25,9,NA,0.708
2022-06-25,10,NA,0.713
2022-06-25,11,NA,2.229
2022-06-25,12,NA,0.817
2022-06-25,13,NA,1.283
2022-06-25,14,NA,0.827
2022-06-25,15,NA,0.806
2022-06-25,16,NA,0.83
2022-06-25,17,NA,0.73
2022-06-25,18,NA,0.832
2022-06-25,19,NA,2.151
2022-06-25,20,NA,2.778
2022-06-25,21,NA,1.447
2022-06-25,22,NA,1.949
2022-06-25,23,NA,0.695
2022-06-26,0,NA,0.488
2022-06-26,1,NA,0.481
2022-06-26,2,NA,0.449
2022-06-26,3,NA,0.478
2022-06-26,4,NA,0.51
2022-06-26,5,NA,0.643
2022-06-26,6,NA,0.585
2022-06-26,7,NA,0.595
2022-06-26,8,NA,1.201
2022-06-26,9,NA,2.51
2022-06-26,10,NA,1.193
2022-06-26,11,NA,1.102
2022-06-26,12,NA,1.733
2022-06-26,13,NA,1.737
2022-06-26,14,NA,1.868
2022-06-26,15,NA,1.172
2022-06-26,16,NA,2.63
2022-06-26,17,NA,1.222
2022-06-26,18,NA,3.899
2022-06-26,19,NA,1.807
2022-06-26,20,NA,1.041
2022-06-26,21,NA,2.149
2022-06-26,22,NA,1.662
2022-06-26,23,NA,0.579
2022-06-27,0,NA,0.501
2022-06-27,1,NA,0.685
2022-06-27,2,NA,0.541
2022-06-27,3,NA,0.496
2022-06-27,4,NA,0.538
2022-06-27,5,NA,0.691
2022-06-27,6,NA,0.608
2022-06-27,7,NA,1.117
2022-06-27,8,NA,0.909
2022-06-27,9,NA,1.381
2022-06-27,10,NA,2.669
2022-06-27,11,NA,0.644
2022-06-27,12,NA,0.823
2022-06-27,13,NA,2.544
2022-06-27,14,NA,0.856
2022-06-27,15,NA,2.701
2022-06-27,16,NA,0.712
2022-06-27,17,NA,1.999
2022-06-27,18,NA,2.857
2022-06-27,19,NA,2.848
2022-06-27,20,NA,1.724
2022-06-27,21,NA,1.901
2022-06-27,22,NA,2.265
2022-06-27,23,NA,0.678
2022-06-28,0,NA,0.599
2022-06-28,1,NA,0.56
2022-06-28,2,NA,0.593
2022-06-28,3,NA,0.611
2022-06-28,4,NA,0.571
2022-06-28,5,NA,0.776
2022-06-28,6,NA,0.695
2022-06-28,7,NA,1.357
2022-06-28,8,NA,0.874
2022-06-28,9,NA,0.839
2022-06-28,10,NA,0.903
2022-06-28,11,NA,0.819
2022-06-28,12,NA,0.699
2022-06-28,13,NA,0.798
2022-06-28,14,NA,0.985
2022-06-28,15,NA,1.098
2022-06-28,16,NA,1.094
2022-06-28,17,NA,0.793
2022-06-28,18,NA,0.854
2022-06-28,19,NA,0.832
2022-06-28,20,NA,0.696
2022-06-28,21,NA,0.698
2022-06-28,22,NA,0.725
2022-06-28,23,NA,0.551
2022-06-29,0,NA,0.502
2022-06-29,1,NA,0.534
2022-06-29,2,NA,0.536
2022-06-29,3,NA,0.502
2022-06-29,4,NA,0.536
2022-06-29,5,NA,0.701
2022-06-29,6,NA,0.604
2022-06-29,7,NA,2.851
2022-06-29,8,NA,1.057
2022-06-29,9,NA,0.815
2022-06-29,10,NA,0.848
2022-06-29,11,NA,1.282
2022-06-29,12,NA,0.764
2022-06-29,13,NA,0.892
2022-06-29,14,NA,0.867
2022-06-29,15,NA,0.816
2022-06-29,16,NA,0.943
2022-06-29,17,NA,1.085
2022-06-29,18,NA,2.878
2022-06-29,19,NA,1.666
2022-06-29,20,NA,0.735
2022-06-29,21,NA,0.943
2022-06-29,22,NA,1.72
2022-06-29,23,NA,0.964
2022-06-30,0,NA,0.537
2022-06-30,1,NA,0.577
2022-06-30,2,NA,0.648
2022-06-30,3,NA,0.524
2022-06-30,4,NA,0.542
2022-06-30,5,NA,0.658
2022-06-30,6,NA,0.754
2022-06-30,7,NA,0.894
2022-06-30,8,NA,0.683
2022-06-30,9,NA,1.123
2022-06-30,10,NA,1.122
2022-06-30,11,NA,0.686
2022-06-30,12,NA,0.772
2022-06-30,13,NA,0.648
2022-06-30,14,NA,0.85
2022-06-30,15,NA,1.234
2022-06-30,16,NA,1.778
2022-06-30,17,NA,1.013
2022-06-30,18,NA,1.973
2022-06-30,19,NA,1.591
2022-06-30,20,NA,1.301
2022-06-30,21,NA,1.196
2022-06-30,22,NA,1.026
2022-06-30,23,NA,0.858
2022-07-01,0,NA,0.555
2022-07-01,1,NA,0.539
2022-07-01,2,NA,0.567
2022-07-01,3,NA,0.526
2022-07-01,4,NA,0.557
2022-07-01,5,NA,0.733
2022-07-01,6,NA,0.625
2022-07-01,7,NA,0.798
2022-07-01,8,NA,0.89
2022-07-01,9,NA,0.66
2022-07-01,10,NA,1.73
2022-07-01,11,NA,0.881
2022-07-01,12,NA,1.173
2022-07-01,13,NA,1.827
2022-07-01,14,NA,1.573
2022-07-01,15,NA,1.276
2022-07-01,16,NA,2.457
2022-07-01,17,NA,1.811
2022-07-01,18,NA,0.834
2022-07-01,19,NA,2.763
2022-07-01,20,NA,5.433
2022-07-01,21,NA,2.054
2022-07-01,22,NA,0.9
2022-07-01,23,NA,1.066
2022-07-02,0,NA,0.567
2022-07-02,1,NA,0.571
2022-07-02,2,NA,0.573
2022-07-02,3,NA,0.539
2022-07-02,4,NA,0.548
2022-07-02,5,NA,0.741
2022-07-02,6,NA,0.651
2022-07-02,7,NA,0.742
2022-07-02,8,NA,0.836
2022-07-02,9,NA,0.627
2022-07-02,10,NA,0.601
2022-07-02,11,NA,1.992
2022-07-02,12,NA,0.764
2022-07-02,13,NA,1.188
2022-07-02,14,NA,1.585
2022-07-02,15,NA,2.093
2022-07-02,16,NA,1.757
2022-07-02,17,NA,0.663
2022-07-02,18,NA,2.549
2022-07-02,19,NA,2.899
2022-07-02,20,NA,0.739
2022-07-02,21,NA,2.07
2022-07-02,22,NA,1.537
2022-07-02,23,NA,1.392
2022-07-03,0,NA,0.558
2022-07-03,1,NA,0.527
2022-07-03,2,NA,0.553
2022-07-03,3,NA,0.605
2022-07-03,4,NA,0.643
2022-07-03,5,NA,0.727
2022-07-03,6,NA,0.607
2022-07-03,7,NA,0.63
2022-07-03,8,NA,1.052
2022-07-03,9,NA,0.664
