day,hour,kw_returned,kw_consumed
2019-01-01,0,NA,0.915
2019-01-01,1,NA,0.934
2019-01-01,2,NA,0.881
2019-01-01,3,NA,0.927
2019-01-01,4,NA,0.405
2019-01-01,5,NA,0.434
2019-01-01,6,NA,0.576
2019-01-01,7,NA,0.65
2019-01-01,8,NA,0.4
2019-01-01,9,NA,0.441
2019-01-01,10,NA,0.624
2019-01-01,11,NA,0.677
2019-01-01,12,NA,0.543
2019-01-01,13,NA,0.618
2019-01-01,14,NA,1.105
2019-01-01,15,NA,0.686
2019-01-01,16,NA,0.709
2019-01-01,17,NA,0.776
2019-01-01,18,NA,1.84
2019-01-01,19,NA,0.742
2019-01-01,20,NA,0.7
2019-01-01,21,NA,1.252
2019-01-01,22,NA,0.655
2019-01-01,23,NA,0.545
2019-01-02,0,NA,0.437
2019-01-02,1,NA,0.43
2019-01-02,2,NA,0.422
2019-01-02,3,NA,0.43
2019-01-02,4,NA,0.395
2019-01-02,5,NA,0.418
2019-01-02,6,NA,0.636
2019-01-02,7,NA,0.647
2019-01-02,8,NA,0.444
2019-01-02,9,NA,0.433
2019-01-02,10,NA,0.429
2019-01-02,11,NA,0.782
2019-01-02,12,NA,1.621
2019-01-02,13,NA,0.691
2019-01-02,14,NA,0.581
2019-01-02,15,NA,0.618
2019-01-02,16,NA,0.744
2019-01-02,17,NA,0.675
2019-01-02,18,NA,0.762
2019-01-02,19,NA,0.666
2019-01-02,20,NA,0.701
2019-01-02,21,NA,0.65
2019-01-02,22,NA,0.647
2019-01-02,23,NA,1.141
2019-01-03,0,NA,0.91
2019-01-03,1,NA,0.451
2019-01-03,2,NA,0.384
2019-01-03,3,NA,0.334
2019-01-03,4,NA,0.387
2019-01-03,5,NA,0.381
2019-01-03,6,NA,0.569
2019-01-03,7,NA,0.595
2019-01-03,8,NA,0.422
2019-01-03,9,NA,0.415
2019-01-03,10,NA,0.385
2019-01-03,11,NA,0.351
2019-01-03,12,NA,1.409
2019-01-03,13,NA,3.177
2019-01-03,14,NA,2.317
2019-01-03,15,NA,1.541
2019-01-03,16,NA,0.685
2019-01-03,17,NA,1.537
2019-01-03,18,NA,1.614
2019-01-03,19,NA,1.127
2019-01-03,20,NA,1.749
2019-01-03,21,NA,2.341
2019-01-03,22,NA,0.59
2019-01-03,23,NA,0.526
2019-01-04,0,NA,0.421
2019-01-04,1,NA,0.393
2019-01-04,2,NA,0.363
2019-01-04,3,NA,0.401
2019-01-04,4,NA,0.371
2019-01-04,5,NA,0.567
2019-01-04,6,NA,1.001
2019-01-04,7,NA,1.073
2019-01-04,8,NA,1.566
2019-01-04,9,NA,0.92
2019-01-04,10,NA,0.319
2019-01-04,11,NA,0.397
2019-01-04,12,NA,0.4
2019-01-04,13,NA,0.396
2019-01-04,14,NA,0.481
2019-01-04,15,NA,0.45
2019-01-04,16,NA,0.802
2019-01-04,17,NA,1.388
2019-01-04,18,NA,2.057
2019-01-04,19,NA,2.297
2019-01-04,20,NA,1.265
2019-01-04,21,NA,1.159
2019-01-04,22,NA,0.533
2019-01-04,23,NA,0.51
2019-01-05,0,NA,0.435
2019-01-05,1,NA,0.487
2019-01-05,2,NA,0.416
2019-01-05,3,NA,0.479
2019-01-05,4,NA,0.441
2019-01-05,5,NA,0.551
2019-01-05,6,NA,0.855
2019-01-05,7,NA,0.937
2019-01-05,8,NA,0.804
2019-01-05,9,NA,0.977
2019-01-05,10,NA,1.007
2019-01-05,11,NA,0.749
2019-01-05,12,NA,0.711
2019-01-05,13,NA,0.72
2019-01-05,14,NA,1.398
2019-01-05,15,NA,1.255
2019-01-05,16,NA,1.477
2019-01-05,17,NA,1.995
2019-01-05,18,NA,1.595
2019-01-05,19,NA,3.841
2019-01-05,20,NA,0.937
2019-01-05,21,NA,0.731
2019-01-05,22,NA,0.708
2019-01-05,23,NA,1.014
2019-01-06,0,NA,3.765
2019-01-06,1,NA,0.445
2019-01-06,2,NA,0.411
2019-01-06,3,NA,0.414
2019-01-06,4,NA,0.412
2019-01-06,5,NA,0.525
2019-01-06,6,NA,0.775
2019-01-06,7,NA,0.935
2019-01-06,8,NA,0.889
2019-01-06,9,NA,0.899
2019-01-06,10,NA,1.191
2019-01-06,11,NA,1.883
2019-01-06,12,NA,1.798
2019-01-06,13,NA,0.827
2019-01-06,14,NA,0.914
2019-01-06,15,NA,0.805
2019-01-06,16,NA,1.57
2019-01-06,17,NA,2.442
2019-01-06,18,NA,1.845
2019-01-06,19,NA,4.086
2019-01-06,20,NA,1.405
2019-01-06,21,NA,1.44
2019-01-06,22,NA,1.888
2019-01-06,23,NA,0.446
2019-01-07,0,NA,0.404
2019-01-07,1,NA,0.36
2019-01-07,2,NA,0.408
2019-01-07,3,NA,0.436
2019-01-07,4,NA,0.36
2019-01-07,5,NA,0.502
2019-01-07,6,NA,1.369
2019-01-07,7,NA,2.225
2019-01-07,8,NA,5.82
2019-01-07,9,NA,4.349
2019-01-07,10,NA,2.605
2019-01-07,11,NA,2.269
2019-01-07,12,NA,2.336
2019-01-07,13,NA,2.314
2019-01-07,14,NA,1.999
2019-01-07,15,NA,1.371
2019-01-07,16,NA,1.421
2019-01-07,17,NA,2.286
2019-01-07,18,NA,1.321
2019-01-07,19,NA,1.283
2019-01-07,20,NA,0.812
2019-01-07,21,NA,0.872
2019-01-07,22,NA,0.83
2019-01-07,23,NA,3.126
2019-01-08,0,NA,0.397
2019-01-08,1,NA,0.348
2019-01-08,2,NA,0.384
2019-01-08,3,NA,0.376
2019-01-08,4,NA,0.368
2019-01-08,5,NA,0.427
2019-01-08,6,NA,1.032
2019-01-08,7,NA,1.817
2019-01-08,8,NA,5.836
2019-01-08,9,NA,4.746
2019-01-08,10,NA,4.9
2019-01-08,11,NA,3.137
2019-01-08,12,NA,2.514
2019-01-08,13,NA,2.316
2019-01-08,14,NA,0.75
2019-01-08,15,NA,0.398
2019-01-08,16,NA,0.779
2019-01-08,17,NA,1.89
2019-01-08,18,NA,0.826
2019-01-08,19,NA,0.932
2019-01-08,20,NA,0.835
2019-01-08,21,NA,0.968
2019-01-08,22,NA,0.777
2019-01-08,23,NA,0.748
2019-01-09,0,NA,0.377
2019-01-09,1,NA,0.359
2019-01-09,2,NA,0.301
2019-01-09,3,NA,0.32
2019-01-09,4,NA,0.463
2019-01-09,5,NA,0.486
2019-01-09,6,NA,1.08
2019-01-09,7,NA,2.011
2019-01-09,8,NA,3.754
2019-01-09,9,NA,3.815
2019-01-09,10,NA,4.668
2019-01-09,11,NA,4.046
2019-01-09,12,NA,1.38
2019-01-09,13,NA,1.093
2019-01-09,14,NA,0.855
2019-01-09,15,NA,1.74
2019-01-09,16,NA,3.262
2019-01-09,17,NA,2.282
2019-01-09,18,NA,1.246
2019-01-09,19,NA,1.189
2019-01-09,20,NA,0.853
2019-01-09,21,NA,0.61
2019-01-09,22,NA,0.614
2019-01-09,23,NA,0.455
2019-01-10,0,NA,0.384
2019-01-10,1,NA,0.306
2019-01-10,2,NA,0.587
2019-01-10,3,NA,0.391
2019-01-10,4,NA,0.389
2019-01-10,5,NA,0.472
2019-01-10,6,NA,0.922
2019-01-10,7,NA,2.054
2019-01-10,8,NA,4.914
2019-01-10,9,NA,4.51
2019-01-10,10,NA,2.604
2019-01-10,11,NA,2.629
2019-01-10,12,NA,2.318
2019-01-10,13,NA,1.405
2019-01-10,14,NA,0.84
2019-01-10,15,NA,0.484
2019-01-10,16,NA,0.731
2019-01-10,17,NA,0.818
2019-01-10,18,NA,0.942
2019-01-10,19,NA,1.296
2019-01-10,20,NA,1.225
2019-01-10,21,NA,0.599
2019-01-10,22,NA,0.642
2019-01-10,23,NA,0.567
2019-01-11,0,NA,0.341
2019-01-11,1,NA,0.335
2019-01-11,2,NA,0.348
2019-01-11,3,NA,0.284
2019-01-11,4,NA,0.328
2019-01-11,5,NA,0.404
2019-01-11,6,NA,0.623
2019-01-11,7,NA,1.474
2019-01-11,8,NA,5.118
2019-01-11,9,NA,4.303
2019-01-11,10,NA,3.793
2019-01-11,11,NA,2.373
2019-01-11,12,NA,2.644
2019-01-11,13,NA,3.432
2019-01-11,14,NA,3.553
2019-01-11,15,NA,2.243
2019-01-11,16,NA,1.431
2019-01-11,17,NA,2.294
2019-01-11,18,NA,1.561
2019-01-11,19,NA,1.009
2019-01-11,20,NA,0.671
2019-01-11,21,NA,0.692
2019-01-11,22,NA,0.546
2019-01-11,23,NA,0.601
2019-01-12,0,NA,0.563
2019-01-12,1,NA,0.558
2019-01-12,2,NA,0.354
2019-01-12,3,NA,0.396
2019-01-12,4,NA,0.394
2019-01-12,5,NA,0.728
2019-01-12,6,NA,0.717
2019-01-12,7,NA,0.646
2019-01-12,8,NA,0.677
2019-01-12,9,NA,1.755
2019-01-12,10,NA,1.7
2019-01-12,11,NA,0.655
2019-01-12,12,NA,1.186
2019-01-12,13,NA,1.82
2019-01-12,14,NA,1.218
2019-01-12,15,NA,2.478
2019-01-12,16,NA,2.019
2019-01-12,17,NA,2.813
2019-01-12,18,NA,2.032
2019-01-12,19,NA,1.678
2019-01-12,20,NA,1.231
2019-01-12,21,NA,1.134
2019-01-12,22,NA,1.081
2019-01-12,23,NA,0.538
2019-01-13,0,NA,0.411
2019-01-13,1,NA,0.462
2019-01-13,2,NA,0.446
2019-01-13,3,NA,0.432
2019-01-13,4,NA,0.437
2019-01-13,5,NA,0.8
2019-01-13,6,NA,0.745
2019-01-13,7,NA,0.702
2019-01-13,8,NA,1.547
2019-01-13,9,NA,0.606
2019-01-13,10,NA,0.439
2019-01-13,11,NA,0.47
2019-01-13,12,NA,0.469
2019-01-13,13,NA,0.456
2019-01-13,14,NA,0.479
2019-01-13,15,NA,0.472
2019-01-13,16,NA,0.651
2019-01-13,17,NA,1.812
2019-01-13,18,NA,1.828
2019-01-13,19,NA,1.532
2019-01-13,20,NA,1.088
2019-01-13,21,NA,4.068
2019-01-13,22,NA,0.82
2019-01-13,23,NA,2.579
2019-01-14,0,NA,0.502
2019-01-14,1,NA,0.515
2019-01-14,2,NA,0.488
2019-01-14,3,NA,0.508
2019-01-14,4,NA,0.468
2019-01-14,5,NA,0.563
2019-01-14,6,NA,0.732
2019-01-14,7,NA,2.496
2019-01-14,8,NA,6.377
2019-01-14,9,NA,5.381
2019-01-14,10,NA,4.818
2019-01-14,11,NA,3.248
2019-01-14,12,NA,2.853
2019-01-14,13,NA,1.268
2019-01-14,14,NA,1.379
2019-01-14,15,NA,2.048
2019-01-14,16,NA,5.031
2019-01-14,17,NA,2.744
2019-01-14,18,NA,4.357
2019-01-14,19,NA,3.226
2019-01-14,20,NA,0.878
2019-01-14,21,NA,0.659
2019-01-14,22,NA,0.691
2019-01-14,23,NA,0.971
2019-01-15,0,NA,0.764
2019-01-15,1,NA,0.419
2019-01-15,2,NA,0.398
2019-01-15,3,NA,0.409
2019-01-15,4,NA,0.658
2019-01-15,5,NA,0.526
2019-01-15,6,NA,0.938
2019-01-15,7,NA,2.758
2019-01-15,8,NA,6.076
2019-01-15,9,NA,5.596
2019-01-15,10,NA,4.155
2019-01-15,11,NA,1.491
2019-01-15,12,NA,1.123
2019-01-15,13,NA,1.125
2019-01-15,14,NA,0.864
2019-01-15,15,NA,0.637
2019-01-15,16,NA,0.878
2019-01-15,17,NA,1.375
2019-01-15,18,NA,1.435
2019-01-15,19,NA,1.086
2019-01-15,20,NA,0.963
2019-01-15,21,NA,0.808
2019-01-15,22,NA,0.5
2019-01-15,23,NA,0.465
2019-01-16,0,NA,0.439
2019-01-16,1,NA,0.41
2019-01-16,2,NA,0.421
2019-01-16,3,NA,0.433
2019-01-16,4,NA,0.454
2019-01-16,5,NA,0.715
2019-01-16,6,NA,1.104
2019-01-16,7,NA,2.604
2019-01-16,8,NA,5.706
2019-01-16,9,NA,6.179
2019-01-16,10,NA,3.906
2019-01-16,11,NA,2.348
2019-01-16,12,NA,1.709
2019-01-16,13,NA,1.204
2019-01-16,14,NA,1.575
2019-01-16,15,NA,1.437
2019-01-16,16,NA,1.479
2019-01-16,17,NA,1.718
2019-01-16,18,NA,1.39
2019-01-16,19,NA,1.26
2019-01-16,20,NA,0.825
2019-01-16,21,NA,0.775
2019-01-16,22,NA,0.74
2019-01-16,23,NA,0.456
2019-01-17,0,NA,0.551
2019-01-17,1,NA,0.384
2019-01-17,2,NA,0.427
2019-01-17,3,NA,0.435
2019-01-17,4,NA,0.402
2019-01-17,5,NA,0.649
2019-01-17,6,NA,0.874
2019-01-17,7,NA,1.666
2019-01-17,8,NA,5.223
2019-01-17,9,NA,5.528
2019-01-17,10,NA,3.985
2019-01-17,11,NA,2.448
2019-01-17,12,NA,1.219
2019-01-17,13,NA,2.94
2019-01-17,14,NA,1.736
2019-01-17,15,NA,0.542
2019-01-17,16,NA,0.869
2019-01-17,17,NA,0.728
2019-01-17,18,NA,0.82
2019-01-17,19,NA,1.446
2019-01-17,20,NA,1.256
2019-01-17,21,NA,0.913
2019-01-17,22,NA,0.568
2019-01-17,23,NA,0.553
2019-01-18,0,NA,0.527
2019-01-18,1,NA,0.617
2019-01-18,2,NA,0.497
2019-01-18,3,NA,0.524
2019-01-18,4,NA,0.54
2019-01-18,5,NA,0.71
2019-01-18,6,NA,0.866
2019-01-18,7,NA,2.984
2019-01-18,8,NA,4.991
2019-01-18,9,NA,4.957
2019-01-18,10,NA,1.465
2019-01-18,11,NA,1.162
2019-01-18,12,NA,1.333
2019-01-18,13,NA,1.169
2019-01-18,14,NA,1.068
2019-01-18,15,NA,0.779
2019-01-18,16,NA,0.709
2019-01-18,17,NA,0.626
2019-01-18,18,NA,0.65
2019-01-18,19,NA,0.662
2019-01-18,20,NA,0.66
2019-01-18,21,NA,0.566
2019-01-18,22,NA,0.683
2019-01-18,23,NA,0.58
2019-01-19,0,NA,0.425
2019-01-19,1,NA,0.401
2019-01-19,2,NA,0.356
2019-01-19,3,NA,0.415
2019-01-19,4,NA,0.413
2019-01-19,5,NA,0.603
2019-01-19,6,NA,0.665
2019-01-19,7,NA,0.642
2019-01-19,8,NA,0.706
2019-01-19,9,NA,0.815
2019-01-19,10,NA,1.248
2019-01-19,11,NA,3.625
2019-01-19,12,NA,0.597
2019-01-19,13,NA,0.478
2019-01-19,14,NA,3.829
2019-01-19,15,NA,0.93
2019-01-19,16,NA,1.171
2019-01-19,17,NA,2.321
2019-01-19,18,NA,2.133
2019-01-19,19,NA,1.029
2019-01-19,20,NA,0.975
2019-01-19,21,NA,0.712
2019-01-19,22,NA,0.616
2019-01-19,23,NA,0.579
2019-01-20,0,NA,0.44
2019-01-20,1,NA,0.435
2019-01-20,2,NA,0.418
2019-01-20,3,NA,0.417
2019-01-20,4,NA,0.438
2019-01-20,5,NA,0.439
2019-01-20,6,NA,0.828
2019-01-20,7,NA,0.957
2019-01-20,8,NA,1.034
2019-01-20,9,NA,1.386
2019-01-20,10,NA,1.604
2019-01-20,11,NA,1.946
2019-01-20,12,NA,1.091
2019-01-20,13,NA,1.311
2019-01-20,14,NA,1.065
2019-01-20,15,NA,2.269
2019-01-20,16,NA,1.331
2019-01-20,17,NA,2.921
2019-01-20,18,NA,1.643
2019-01-20,19,NA,1.437
2019-01-20,20,NA,0.762
2019-01-20,21,NA,0.737
2019-01-20,22,NA,0.667
2019-01-20,23,NA,0.545
2019-01-21,0,NA,0.554
2019-01-21,1,NA,0.423
2019-01-21,2,NA,0.421
2019-01-21,3,NA,0.469
2019-01-21,4,NA,0.44
2019-01-21,5,NA,0.573
2019-01-21,6,NA,1.152
2019-01-21,7,NA,1.636
2019-01-21,8,NA,4.453
2019-01-21,9,NA,5.915
2019-01-21,10,NA,5.9
2019-01-21,11,NA,2.568
2019-01-21,12,NA,1.351
2019-01-21,13,NA,1.368
2019-01-21,14,NA,1.34
2019-01-21,15,NA,1.759
2019-01-21,16,NA,1.454
2019-01-21,17,NA,1.311
2019-01-21,18,NA,1.647
2019-01-21,19,NA,1.385
2019-01-21,20,NA,0.83
2019-01-21,21,NA,0.699
2019-01-21,22,NA,0.63
2019-01-21,23,NA,0.672
2019-01-22,0,NA,0.671
2019-01-22,1,NA,0.668
2019-01-22,2,NA,0.662
2019-01-22,3,NA,0.668
2019-01-22,4,NA,0.615
2019-01-22,5,NA,0.865
2019-01-22,6,NA,0.956
2019-01-22,7,NA,3.708
2019-01-22,8,NA,5.826
2019-01-22,9,NA,1.917
2019-01-22,10,NA,2.655
2019-01-22,11,NA,2.146
2019-01-22,12,NA,3.027
2019-01-22,13,NA,1.565
2019-01-22,14,NA,0.782
2019-01-22,15,NA,1.073
2019-01-22,16,NA,1.3
2019-01-22,17,NA,0.766
2019-01-22,18,NA,1.948
2019-01-22,19,NA,1.245
2019-01-22,20,NA,1.404
2019-01-22,21,NA,0.896
2019-01-22,22,NA,0.568
2019-01-22,23,NA,0.353
2019-01-23,0,NA,0.325
2019-01-23,1,NA,0.31
2019-01-23,2,NA,0.344
2019-01-23,3,NA,0.32
2019-01-23,4,NA,0.32
2019-01-23,5,NA,0.549
2019-01-23,6,NA,0.814
2019-01-23,7,NA,3.785
2019-01-23,8,NA,3.886
2019-01-23,9,NA,5.75
2019-01-23,10,NA,2.378
2019-01-23,11,NA,1.164
2019-01-23,12,NA,1.363
2019-01-23,13,NA,1.247
2019-01-23,14,NA,1.229
2019-01-23,15,NA,1.303
2019-01-23,16,NA,1.86
2019-01-23,17,NA,1.408
2019-01-23,18,NA,0.79
2019-01-23,19,NA,1.283
2019-01-23,20,NA,1.267
2019-01-23,21,NA,0.859
2019-01-23,22,NA,0.675
2019-01-23,23,NA,0.515
2019-01-24,0,NA,0.394
2019-01-24,1,NA,0.436
2019-01-24,2,NA,0.463
2019-01-24,3,NA,0.435
2019-01-24,4,NA,0.304
2019-01-24,5,NA,0.986
2019-01-24,6,NA,0.873
2019-01-24,7,NA,1.787
2019-01-24,8,NA,5.623
2019-01-24,9,NA,3.579
2019-01-24,10,NA,2.389
2019-01-24,11,NA,2.524
2019-01-24,12,NA,3.005
2019-01-24,13,NA,2.41
2019-01-24,14,NA,0.865
2019-01-24,15,NA,0.579
2019-01-24,16,NA,0.654
2019-01-24,17,NA,1.477
2019-01-24,18,NA,0.667
2019-01-24,19,NA,1.212
2019-01-24,20,NA,1.359
2019-01-24,21,NA,1.166
2019-01-24,22,NA,0.497
2019-01-24,23,NA,0.456
2019-01-25,0,NA,0.465
2019-01-25,1,NA,0.382
2019-01-25,2,NA,0.44
2019-01-25,3,NA,0.464
2019-01-25,4,NA,0.363
2019-01-25,5,NA,0.716
2019-01-25,6,NA,0.96
2019-01-25,7,NA,1.384
2019-01-25,8,NA,4.003
2019-01-25,9,NA,6.221
2019-01-25,10,NA,4.289
2019-01-25,11,NA,1.207
2019-01-25,12,NA,2.449
2019-01-25,13,NA,1.265
2019-01-25,14,NA,0.92
2019-01-25,15,NA,2.194
2019-01-25,16,NA,2.36
2019-01-25,17,NA,3.898
2019-01-25,18,NA,1.447
2019-01-25,19,NA,1.173
2019-01-25,20,NA,0.954
2019-01-25,21,NA,0.553
2019-01-25,22,NA,0.531
2019-01-25,23,NA,0.511
2019-01-26,0,NA,0.488
2019-01-26,1,NA,0.395
2019-01-26,2,NA,0.469
2019-01-26,3,NA,0.531
2019-01-26,4,NA,0.999
2019-01-26,5,NA,0.663
2019-01-26,6,NA,0.666
2019-01-26,7,NA,1.026
2019-01-26,8,NA,1.241
2019-01-26,9,NA,1.356
2019-01-26,10,NA,0.823
2019-01-26,11,NA,1.204
2019-01-26,12,NA,1.178
2019-01-26,13,NA,1.542
2019-01-26,14,NA,1.108
2019-01-26,15,NA,1.077
2019-01-26,16,NA,3.146
2019-01-26,17,NA,1.554
2019-01-26,18,NA,0.896
2019-01-26,19,NA,0.894
2019-01-26,20,NA,0.838
2019-01-26,21,NA,0.829
2019-01-26,22,NA,0.816
2019-01-26,23,NA,0.616
2019-01-27,0,NA,0.511
2019-01-27,1,NA,0.699
2019-01-27,2,NA,0.524
2019-01-27,3,NA,0.538
2019-01-27,4,NA,0.526
2019-01-27,5,NA,0.795
2019-01-27,6,NA,0.919
2019-01-27,7,NA,0.963
2019-01-27,8,NA,1.681
2019-01-27,9,NA,1.164
2019-01-27,10,NA,0.826
2019-01-27,11,NA,0.615
2019-01-27,12,NA,0.618
2019-01-27,13,NA,0.5
2019-01-27,14,NA,0.484
2019-01-27,15,NA,0.632
2019-01-27,16,NA,0.821
2019-01-27,17,NA,1.477
2019-01-27,18,NA,2.724
2019-01-27,19,NA,2.185
2019-01-27,20,NA,0.9
2019-01-27,21,NA,0.833
