date,kWh
2022-10-07T07:00:00Z,0.19
2022-10-07T08:00:00Z,1.52
2022-10-07T09:00:00Z,4.31
2022-10-07T10:00:00Z,4.63
2022-10-07T11:00:00Z,4.38
2022-10-07T12:00:00Z,3.45
2022-10-07T13:00:00Z,4.53
2022-10-07T14:00:00Z,3.86
2022-10-07T15:00:00Z,3.52
2022-10-07T16:00:00Z,1.57
2022-10-07T17:00:00Z,0.64
2022-10-07T18:00:00Z,0.05
2022-10-08T07:00:00Z,0.13
2022-10-08T08:00:00Z,0.9
2022-10-08T09:00:00Z,4.43
2022-10-08T10:00:00Z,6.36
2022-10-08T11:00:00Z,7.63
2022-10-08T12:00:00Z,8.1
2022-10-08T13:00:00Z,7.83
2022-10-08T14:00:00Z,6.78
2022-10-08T15:00:00Z,4.42
2022-10-08T16:00:00Z,1.22
2022-10-08T17:00:00Z,0.48
2022-10-08T18:00:00Z,0.03
2022-10-09T07:00:00Z,0.29
2022-10-09T08:00:00Z,2.3
2022-10-09T09:00:00Z,4.86
2022-10-09T10:00:00Z,6.8
2022-10-09T11:00:00Z,8.02
2022-10-09T12:00:00Z,8.49
2022-10-09T13:00:00Z,8.15
2022-10-09T14:00:00Z,7.19
2022-10-09T15:00:00Z,4.63
2022-10-09T16:00:00Z,1.08
2022-10-09T17:00:00Z,0.46
2022-10-09T18:00:00Z,0.03
2022-10-10T07:00:00Z,0.32
2022-10-10T08:00:00Z,0.57
2022-10-10T09:00:00Z,0.58
2022-10-10T10:00:00Z,1.36
2022-10-10T11:00:00Z,5.08
2022-10-10T12:00:00Z,8.72
2022-10-10T13:00:00Z,8.83
2022-10-10T14:00:00Z,7.61
2022-10-10T15:00:00Z,4.9
2022-10-10T16:00:00Z,1.46
2022-10-10T17:00:00Z,0.74
2022-10-10T18:00:00Z,0.05
2022-10-11T07:00:00Z,0.26
2022-10-11T08:00:00Z,2.28
2022-10-11T09:00:00Z,5.5
2022-10-11T10:00:00Z,6.84
2022-10-11T11:00:00Z,7.87
2022-10-11T12:00:00Z,8.58
2022-10-11T13:00:00Z,8.36
2022-10-11T14:00:00Z,7.18
2022-10-11T15:00:00Z,4.25
2022-10-11T16:00:00Z,1.34
2022-10-11T17:00:00Z,0.3
2022-10-11T18:00:00Z,0.01
2022-10-12T07:00:00Z,0.24
2022-10-12T08:00:00Z,2.33
2022-10-12T09:00:00Z,4.96
2022-10-12T10:00:00Z,6.93
2022-10-12T11:00:00Z,8.11
2022-10-12T12:00:00Z,8.62
2022-10-12T13:00:00Z,8.33
2022-10-12T14:00:00Z,6.6
2022-10-12T15:00:00Z,3.31
2022-10-12T16:00:00Z,1.38
2022-10-12T17:00:00Z,0.33
2022-10-12T18:00:00Z,0.02
2022-10-13T07:00:00Z,0.24
2022-10-13T08:00:00Z,2.35
2022-10-13T09:00:00Z,5.02
2022-10-13T10:00:00Z,7.01
2022-10-13T11:00:00Z,8.28
2022-10-13T12:00:00Z,8.75
2022-10-13T13:00:00Z,8.46
2022-10-13T14:00:00Z,7.2
2022-10-13T15:00:00Z,4.7
2022-10-13T16:00:00Z,0.95
2022-10-13T17:00:00Z,0.3
2022-10-13T18:00:00Z,0.01
